type,title,cover,author,authorImg,authorWork,authorWords,authorDays,monthRead,monthFlower,allRead,allFlower,wordNum,updateTicket,reward,monthTicker,shareNum,rate,startTime,updateTime,detailLink
玄幻奇幻,西游：绑定诸神后，我无敌了,http://img.faloo.com/Novel/498x705/0/614/000614625.jpg,买车号,//photo.faloo.com/default.jpg,3,8970000,1879,149589,2024,11418921,13463,2819500,2,1200.0,0,0,9.8,2021-02-20,2024-12-08,https://b.faloo.com/908741.html
玄幻奇幻,洪荒太危险，系统不让我出门,http://img.faloo.com/Novel/498x705/0/654/000654297.jpg,烤骨,//photo.faloo.com/default.jpg,62,180000,2300,148976,2071,19326760,157836,4567120,87,1054000.0,0,0,9.9,2021-04-20,2024-12-07,https://b.faloo.com/942138.html
玄幻奇幻,我养的妖怪强无敌,http://img.faloo.com/Novel/498x705/0/300/000300994.jpg,爆更狂魔1,//photo.faloo.com/default.jpg,62,180000,2300,149182,2003,34889125,393053,6996612,273,1222000.0,0,30,10,2019-07-20,2024-12-07,https://b.faloo.com/631820.html
玄幻奇幻,打造鸿蒙排行榜，神殿震洪荒！,http://img.faloo.com/Novel/498x705/1/1100/001100793.jpg,百舸争流吾进之,//photo.faloo.com/default.jpg,6,6090000,490,150633,2024,6256251,4524,2423257,0,100.0,0,0,9.3,2024-02-27,2024-12-07,https://b.faloo.com/1395825.html
玄幻奇幻,西游：开局帮通天诛仙剑强化+10！,http://img.faloo.com/Novel/498x705/0/662/000662576.jpg,问道红尘中,//photo.faloo.com/default.jpg,2,8690000,1467,150626,2045,14816203,88798,4208558,27,207000.0,0,0,9.9,2020-12-27,2024-12-07,https://b.faloo.com/876505.html
玄幻奇幻,国运副本:以创世入诸天,http://img.faloo.com/Novel/498x705/1/1549/001549603.jpg,宇智波若欣,//photo.faloo.com/default.jpg,2,540000,823,150048,1381,611508,227,161555,0,0.0,0,0,0,2024-11-10,2024-12-02,https://b.faloo.com/1452190.html
玄幻奇幻,高武帝皇，我就是万王之王,http://img.faloo.com/Novel/498x705/1/1555/001555140.jpg,断笔,//photo.faloo.com/default.jpg,2,270000,1464,146174,839,410221,221,197983,0,0.0,0,0,0,2024-11-19,2024-12-07,https://b.faloo.com/1453701.html
玄幻奇幻,天庭临时工：我融合的词条有加成,http://img.faloo.com/Novel/498x705/1/1549/001549180.jpg,陶一唐,//photo.faloo.com/default.jpg,1,80000,33,150223,1606,686219,315,83848,0,0.0,0,0,0,2024-11-05,2024-12-03,https://b.faloo.com/1451381.html
玄幻奇幻,天界战神:杨戬重生神尊再临,http://img.faloo.com/Novel/498x705/1/1550/001550133.jpg,林逸宸,http://photo.faloo.com/160x120/0/895/895611.jpg,2,1040000,84,148767,1214,547970,263,178339,0,0.0,0,0,0,2024-11-13,2024-12-05,https://b.faloo.com/1452629.html
玄幻奇幻,人在末世，熔炼万物！,http://img.faloo.com/Novel/498x705/1/1549/001549928.jpg,星轨001,//photo.faloo.com/default.jpg,1,110000,25,149860,1269,572328,219,110956,0,0.0,0,0,0,2024-11-12,2024-12-07,https://b.faloo.com/1452460.html
